Title,Rating,Year,Actors,Runtime
Aloko Udapadi,9.6,2017,"Uddika Premarathna, Dilhani Ekanayake, Roshan Ravindra, Menaka Peiris"
Dag II,9.3,2016,"Ozan Agaç, Bedii Akin, Murat Arkin, Eylül Arular"
Aynabaji,9.3,2016,"Chanchal Chowdhury, Masuma Rahman Nabila, Bijori Barkatullah, Partho Barua"
Wheels,9.3,2014,"Donavon Warren, Patrick Hume, Diana Gettinger, Kevin McCorkle"
The Dark Knight,9.0,2008,"Christian Bale, Heath Ledger, Aaron Eckhart, Michael Caine"
Ayla: The Daughter of War,8.8,2017,"Çetin Tekindor, Ismail Hacioglu, Kyung-jin Lee, Kim Seol"
Vikram Vedha,8.8,2017,"Madhavan, Vijay Sethupathi, Varalaxmi Sarathkumar, Shraddha Srinath"
Aruvi,8.8,2016,"Aditi Balan, Padmashri Mohammad Ali, Pradeep Anthony, Arnold"
Drishyam,8.8,2013,"Mohanlal, Meena, Ansiba, Esther"
The Phantom of the Opera at the Royal Albert Hall,8.8,2011,"Ramin Karimloo, Sierra Boggess, Hadley Fraser, Wendy Ferguson"
Inception,8.8,2010,"Leonardo DiCaprio, Joseph Gordon-Levitt, Ellen Page, Ken Watanabe"
Interstellar,8.6,2014,"Matthew McConaughey, Anne Hathaway, Jessica Chastain, Mackenzie Foy"
Arjun Reddy,8.5,2017,"Vijay Deverakonda, Shalini Pandey, Amit Sharma, Rahul Ramakrishna"
Dhuruvangal Pathinaaru,8.5,2016,"Rahman, Prakash Raghavan, Sharath Kumar, Santhosh Krishna"
Dangal,8.5,2016,"Aamir Khan, Sakshi Tanwar, Fatima Sana Shaikh, Sanya Malhotra"
Thani Oruvan,8.5,2015,"Jayam Ravi, Arvind Swamy, Nayanthara, Nassar"
RangiTaranga,8.5,2015,"Nirup Bhandari, Radhika Chetan, Avantika Shetty, Sai Kumar"
Whiplash,8.5,2014,"Miles Teller, J.K. Simmons, Melissa Benoist, Paul Reiser"
The Intouchables,8.5,2011,"François Cluzet, Omar Sy, Anne Le Ny, Audrey Fleurot"
Kiborgy. Heroyi ne vmyrayut,8.4,2017,"Vyacheslav Dovzhenko, Roman Yasinovsky, Andrey Isaenko, Viktor Zhdanov"
Sairat,8.4,2016,"Rinku Rajguru, Akash Thosar, Arbaz Shaikh, Tanaji Galgunde"
Kimi no na wa.,8.4,2016,"Ryûnosuke Kamiki, Mone Kamishiraishi, Ryô Narita, Aoi Yûki"
Jigarthanda,8.4,2014,"Siddharth, Bobby Simha, Lakshmi Menon, Nassar"
Ulidavaru Kandanthe,8.4,2014,"Kishore Kumar G., Rakshit Shetty, Thara, Achyuth Kumar"
Soodhu Kavvum,8.4,2013,"Vijay Sethupathi, Sanchita Shetty, Radha Ravi, M.S. Bhaskar"
Coco,8.4,2017,"Anthony Gonzalez, Gael García Bernal, Benjamin Bratt, Alanna Ubach"
Lucia,8.4,2013,"Sathish Neenasam, Sruthi Hariharan, Achyuth Kumar, Sabreen Baker"
Vishwaroopam,8.4,2013,"Pooja Kumar, Miles Anderson, Kamal Haasan, Rahul Bose"
Django Unchained,8.4,2012,"Jamie Foxx, Christoph Waltz, Leonardo DiCaprio, Kerry Washington"
The Dark Knight Rises,8.4,2012,"Christian Bale, Tom Hardy, Anne Hathaway, Gary Oldman"
3 Idiots,8.4,2009,"Aamir Khan, Madhavan, Mona Singh, Sharman Joshi"
WALL·E,8.4,2008,"Ben Burtt, Elissa Knight, Jeff Garlin, Fred Willard"
Theeran Adhigaaram Ondru,8.3,2017,"Karthi, Rakul Preet Singh, Abhimanyu Singh, Bose Venkat"
Abad va yek rooz,8.3,2016,"Payman Maadi, Navid Mohammadzadeh, Parinaz Izadyar, Shabnam Moghadami"
Baahubali 2: The Conclusion,8.3,2017,"Prabhas, Rana Daggubati, Anushka Shetty, Tamannaah Bhatia"
Premam,8.3,2015,"Nivin Pauly, Sai Pallavi, Madonna Sebastian, Anupama Parameshwaran"
Drishyam,8.3,2015,"Ajay Devgn, Shriya Saran, Tabu, Rajat Kapoor"
Chaar Sahibzaade,8.3,2014,"Om Puri, Harman Baweja"
Bangalore Days,8.3,2014,"Nazriya Nazim, Nivin Pauly, Dulquer Salmaan, Fahadh Faasil"
It's Such a Beautiful Day,8.3,2012,
1 - Nenokkadine,8.3,2014,"Mahesh Babu, Kriti Sanon, Nassar, Pradeep Singh Rawat"
Ustad Hotel,8.3,2012,"Dulquer Salmaan, Thilakan, Siddique, Nithya Menon"
Shahid,8.3,2012,"Rajkummar Rao, Mohammed Zeeshan Ayyub, Baljinder Kaur, Tigmanshu Dhulia"
Jagten,8.3,2012,"Mads Mikkelsen, Thomas Bo Larsen, Annika Wedderkopp, Lasse Fogelstrøm"
Bol,8.3,2011,"Humaima Malik, Manzar Sehbai, Shafqat Cheema, Iman Ali"
Jodaeiye Nader az Simin,8.3,2011,"Payman Maadi, Leila Hatami, Sareh Bayat, Shahab Hosseini"
"Montevideo, vidimo se!",8.3,2014,"Milos Bikovic, Petar Strugar, Armand Assante, Viktor Savic"
"Montevideo, Bog te video!",8.3,2010,"Milos Bikovic, Petar Strugar, Nina Jankovic, Danina Jeftic"
Up,8.3,2009,"Edward Asner, Jordan Nagai, John Ratzenberger, Christopher Plummer"
Toy Story 3,8.3,2010,"Tom Hanks, Tim Allen, Joan Cusack, Ned Beatty"
